iter	TotalF1	MultiClass
289	0.9508938758	0.1443440803
290	0.9508796891	0.1442394042
291	0.9509021234	0.1441391809
292	0.9508909337	0.1440813294
293	0.9509504029	0.1439124804
294	0.9509784753	0.1438121405
295	0.9510175169	0.1437611665
296	0.9510076765	0.1436449912
297	0.9510204323	0.1435220446
298	0.9510342191	0.1432636012
299	0.9510302916	0.1431566889
300	0.951061776	0.1430462288
301	0.951105823	0.1429685286
302	0.9511069516	0.142854816
303	0.9510585016	0.1427090793
304	0.9510858461	0.1426678806
305	0.9511021288	0.1424722259
306	0.9511328347	0.1422546828
307	0.9511247089	0.1421833488
308	0.9511624916	0.1420315231
309	0.9511844503	0.1419141051
310	0.9512148758	0.1418072372
311	0.9512139906	0.1417045322
312	0.9512305455	0.1416138683
313	0.9512077448	0.1415672469
314	0.9512428925	0.1414288551
315	0.9513121789	0.1413145655
316	0.9512997163	0.1412614733
317	0.9513248277	0.1410697609
318	0.9513381527	0.1409702489
319	0.9513650747	0.1408989271
320	0.9513926294	0.1407410522
321	0.951412012	0.1406395493
322	0.9514225099	0.1404786223
323	0.9515038118	0.140370675
324	0.9514952956	0.1402974396
325	0.9515593734	0.1402273857
326	0.9515801369	0.1400163268
327	0.9516765534	0.1398107504
328	0.9517548882	0.1396252109
329	0.9517777436	0.1394486495
330	0.9517943426	0.139377857
331	0.9518721357	0.1392587819
332	0.9519108367	0.1392178101
333	0.9519106069	0.139171531
334	0.9519231335	0.1390991401
335	0.9519162674	0.1390105873
336	0.9519752581	0.1388942846
337	0.9519770885	0.1388176377
338	0.9520010831	0.138719564
339	0.9519717682	0.1386136985
340	0.9519562089	0.1384959657
341	0.951931744	0.1383759607
342	0.9519621514	0.1382557573
343	0.9520579108	0.1380903496
344	0.9521101006	0.1379774837
345	0.9521123052	0.1378858755
346	0.952168857	0.1377806225
347	0.9521571476	0.1376520265
348	0.9521882627	0.1375222811
349	0.9521827662	0.1374332746
350	0.9521883644	0.1373336421
351	0.9522115834	0.1372551827
352	0.9522144856	0.1371505042
353	0.952224573	0.1370341172
354	0.9522771793	0.1369377858
355	0.9522829166	0.1368791724
356	0.9522857921	0.1368220355
357	0.9522899297	0.1367804641
358	0.9523427165	0.1366111868
359	0.9523232214	0.1365400836
360	0.9523594085	0.1364685893
361	0.9524346654	0.1363877927
362	0.9524340242	0.1362706128
363	0.9524675984	0.136163603
364	0.9524643151	0.1361034129
365	0.9525407856	0.1359271133
366	0.9525656459	0.1358083413
367	0.9525477371	0.1357079284
